,stonk_name,stonk_link,stonk_ticker
0,Ford Motor,https://www.investing.com/equities/ford-motor-co,F
1,Apple,https://www.investing.com/equities/apple-computer-inc,AAPL
2,Ascent Solar,https://www.investing.com/equities/ascent-solar-tech,ASTI
3,Bank of America,https://www.investing.com/equities/bank-of-america,BAC
4,AT&T,https://www.investing.com/equities/at-t,T
5,AMD,https://www.investing.com/equities/adv-micro-device,AMD
6,NVIDIA,https://www.investing.com/equities/nvidia-corp,NVDA
7,Marvell,https://www.investing.com/equities/marvell-technology-group-ltd,MRVL
8,Petroleo Brasileiro Petrobras ADR,https://www.investing.com/equities/petroleo-bras,PBR
9,Vale ADR,https://www.investing.com/equities/vale-s.a.--americ,VALE
10,Microsoft,https://www.investing.com/equities/microsoft-corp,MSFT
11,Pfizer,https://www.investing.com/equities/pfizer,PFE
12,FuelCell Energy,https://www.investing.com/equities/fuelcell-energy,FCEL
13,Intel,https://www.investing.com/equities/intel-corp,INTC
14,Tesla,https://www.investing.com/equities/tesla-motors,TSLA
15,Wells Fargo&Co,https://www.investing.com/equities/wells-fargo,WFC
16,Cleveland-Cliffs,https://www.investing.com/equities/cleveland-cliffs,CLF
17,Cisco,https://www.investing.com/equities/cisco-sys-inc,CSCO
18,Delta Air Lines,https://www.investing.com/equities/delta-air-lines-new,DAL
19,Citigroup,https://www.investing.com/equities/citigroup,C
20,ViacomCBS,https://www.investing.com/equities/viacom-cl-b,VIAC
21,Sirius XM,https://www.investing.com/equities/sirius-satellite-radio-inc,SIRI
22,Verizon,https://www.investing.com/equities/verizon-communications,VZ
23,Riot Blockchain,https://www.investing.com/equities/venaxis,RIOT
24,Comcast,https://www.investing.com/equities/comcast-corp-new,CMCSA
25,Exxon Mobil,https://www.investing.com/equities/exxon-mobil,XOM
26,Barrick Gold,https://www.investing.com/equities/barrick-gold-corp.,GOLD
27,CSX,https://www.investing.com/equities/csx-corp,CSX
28,Coca-Cola,https://www.investing.com/equities/coca-cola-co,KO
29,PG E,https://www.investing.com/equities/pacific-gas-electric,PCG
30,Yamana Gold,https://www.investing.com/equities/yamana-gold,AUY
31,Southwestern Energy,https://www.investing.com/equities/southwestern-energy-company,SWN
32,Freeport-McMoran,https://www.investing.com/equities/freeport-mcm,FCX
33,General Motors,https://www.investing.com/equities/gen-motors,GM
34,Micron,https://www.investing.com/equities/micron-tech,MU
35,Macy’s Inc,https://www.investing.com/equities/macys,M
36,United States Steel,https://www.investing.com/equities/us-steel-corp,X
37,Marathon Oil,https://www.investing.com/equities/marathon-oil,MRO
38,Bristol-Myers Squibb,https://www.investing.com/equities/bristol-myer-squiib,BMY
39,United Airlines Holdings,https://www.investing.com/equities/united-continenta,UAL
40,Transocean,https://www.investing.com/equities/transocea-ltd,RIG
41,HP Inc,https://www.investing.com/equities/hewlett-pack,HPQ
42,BIOLASE,https://www.investing.com/equities/biolase-tech,BIOL
43,EQT,https://www.investing.com/equities/eqt-corporation,EQT
44,Occidental,https://www.investing.com/equities/occidental-petro,OXY
45,APA Corp,https://www.investing.com/equities/apache-corp,APA
46,Walt Disney,https://www.investing.com/equities/disney,DIS
47,Walmart,https://www.investing.com/equities/wal-mart-stores,WMT
48,Huntington Bancshares,https://www.investing.com/equities/huntgtn-bkshr,HBAN
49,Merck&Co,https://www.investing.com/equities/merck---co,MRK
50,Activision Blizzard,https://www.investing.com/equities/activision-inc,ATVI
51,Teva ADR,https://www.investing.com/equities/teva-pharmaceutical-inds-ltd,TEVA
52,BlackBerry,https://www.investing.com/equities/research-in-motion-ltd,BB
53,Walgreens Boots,https://www.investing.com/equities/walgreen-co,WBA
54,JPMorgan,https://www.investing.com/equities/jp-morgan-chase,JPM
55,Kroger,https://www.investing.com/equities/kroger-co,KR
56,Kinross Gold,https://www.investing.com/equities/kinross-gold,KGC
57,Qualcomm,https://www.investing.com/equities/qualcomm-inc,QCOM
58,NextEra Energy,https://www.investing.com/equities/nextera-energy-inc,NEE
59,Procter&Gamble,https://www.investing.com/equities/procter-gamble,PG
60,Boeing,https://www.investing.com/equities/boeing-co,BA
61,Visa A,https://www.investing.com/equities/visa-inc,V
62,Gap,https://www.investing.com/equities/gap.inc,GPS
63,Cemex ADR,https://www.investing.com/equities/cemex-sab-de-cv-adr,CX
64,Oracle,https://www.investing.com/equities/oracle-corp,ORCL
65,Chevron,https://www.investing.com/equities/chevron,CVX
66,Lumen Technologies,https://www.investing.com/equities/centurylink,LUMN
67,Baidu,https://www.investing.com/equities/baidu.com,BIDU
68,Regions Financial,https://www.investing.com/equities/regions-fin,RF
69,ICICI Bank ADR,https://www.investing.com/equities/icici-bank,IBN
70,CTi Biopharma,https://www.investing.com/equities/cell-therapeutics,CTIC
71,eBay,https://www.investing.com/equities/ebay-inc,EBAY
72,Devon Energy,https://www.investing.com/equities/devon-energy,DVN
73,Mitsubishi UFJ Financial ADR,https://www.investing.com/equities/mits-ufj-financial-grp,MUFG
74,Morgan Stanley,https://www.investing.com/equities/morgan-stanley,MS
75,Schlumberger,https://www.investing.com/equities/schlumberger-ltd,SLB
76,Harmony Gold Mining,https://www.investing.com/equities/harmony-gold-mng,HMY
77,KeyCorp,https://www.investing.com/equities/keycorp-new,KEY
78,Trip.com ADR,https://www.investing.com/equities/ctrip.com-international,TCOM
79,Discovery A,https://www.investing.com/equities/discovery-holding-co,DISCA
80,Amyris,https://www.investing.com/equities/amyris,AMRS
81,Halliburton,https://www.investing.com/equities/halliburton-co,HAL
82,Newmont Goldcorp,https://www.investing.com/equities/newmont-mining,NEM
83,Salesforce.com,https://www.investing.com/equities/salesforce-com,CRM
84,Boston Scientific,https://www.investing.com/equities/boston-scien-cp,BSX
85,Host Hotels Resorts,https://www.investing.com/equities/host-hotels---res,HST
86,Altria,https://www.investing.com/equities/altria-group,MO
87,J&J,https://www.investing.com/equities/johnson-johnson,JNJ
88,Southwest Airlines,https://www.investing.com/equities/sth-west-airlines,LUV
89,Viatris,https://www.investing.com/equities/mylan-inc,VTRS
90,Exelon,https://www.investing.com/equities/exelon-corp,EXC
91,JetBlue,https://www.investing.com/equities/jet-blue,JBLU
92,Cumberland,https://www.investing.com/equities/cumberland-pharma,CPIX
93,Dell Tech,https://www.investing.com/equities/dell-inc,DELL
94,General Electric,https://www.investing.com/equities/general-electric,GE
95,Kraft Heinz,https://www.investing.com/equities/kraft-foods-inc,KHC
96,Baker Hughes,https://www.investing.com/equities/baker-hughes,BKR
97,Marathon Petroleum,https://www.investing.com/equities/marathon-petroleum-corp.,MPC
98,TJX,https://www.investing.com/equities/tjx-co-inc,TJX
99,Gilead,https://www.investing.com/equities/gilead-sciences-inc,GILD
100,Applied Materials,https://www.investing.com/equities/applied-matls-inc,AMAT
101,MGM,https://www.investing.com/equities/mgm-mirage,MGM
102,Western Union,https://www.investing.com/equities/western-union,WU
103,Philip Morris,https://www.investing.com/equities/philip-morris-intl,PM
104,Charles Schwab,https://www.investing.com/equities/charles-schwab,SCHW
105,Keurig Dr Pepper,https://www.investing.com/equities/dr-pepper-snapple,KDP
106,NetEase,https://www.investing.com/equities/netease.com,NTES
107,Las Vegas Sands,https://www.investing.com/equities/las-vegas-sands,LVS
108,ConocoPhillips,https://www.investing.com/equities/conoco-phillips,COP
109,Dow,https://www.investing.com/equities/dow-chemical,DOW
110,Coterra Energy,https://www.investing.com/equities/cabot-oil---gas,CTRA
111,Starbucks,https://www.investing.com/equities/starbucks-corp,SBUX
112,Williams,https://www.investing.com/equities/williams-cos,WMB
113,Infosys ADR,https://www.investing.com/equities/infosy-tech,INFY
114,Gold Fields ADR,https://www.investing.com/equities/gold-fields-lts,GFI
115,Discovery Communications C,https://www.investing.com/equities/discovery-communications-(c),DISCK
116,Adobe,https://www.investing.com/equities/adobe-sys-inc,ADBE
117,Truist Financial Corp,https://www.investing.com/equities/bb-t-corp,TFC
118,Medtronic,https://www.investing.com/equities/medtronic,MDT
119,IBM,https://www.investing.com/equities/ibm,IBM
120,PepsiCo,https://www.investing.com/equities/pepsico,PEP
121,Ballard,https://www.investing.com/equities/ballard-power-systems-inc,BLDP
122,Nordstrom,https://www.investing.com/equities/nordstrom-inc,JWN
123,U.S. Bancorp,https://www.investing.com/equities/us-bancorp,USB
124,The AES,https://www.investing.com/equities/aes-corp,AES
125,Raytheon Technologies,https://www.investing.com/equities/united-tech,RTX
126,Alcoa,https://www.investing.com/equities/alcoa,AA
127,Cameco,https://www.investing.com/equities/cameco-corp,CCJ
128,Berkshire Hathaway B,https://www.investing.com/equities/berkshire-hathaway,BRKb
129,Fiserv,https://www.investing.com/equities/fiserv-inc,FISV
130,Southern,https://www.investing.com/equities/southern-co,SO
131,MetLife,https://www.investing.com/equities/metlife-inc,MET
132,AGNC Invest,https://www.investing.com/equities/american-capital-agency,AGNC
133,CenterPoint Energy,https://www.investing.com/equities/centerpoint,CNP
134,CVS Health Corp,https://www.investing.com/equities/cvs-corp,CVS
135,Under Armour A,https://www.investing.com/equities/under-armour,UAA
136,Genworth,https://www.investing.com/equities/genworth-finl,GNW
137,Microchip,https://www.investing.com/equities/microchip-technology-inc,MCHP
138,Seelos Therapeutics,https://www.investing.com/equities/apricus-biosciences,SEEL
139,Clovis,https://www.investing.com/equities/clovis-oncology,CLVS
140,Fifth Third,https://www.investing.com/equities/fifth-third-bk,FITB
141,PPL,https://www.investing.com/equities/ppl-corp,PPL
142,Kohls Corp,https://www.investing.com/equities/kohls-corp,KSS
143,Bank of NY Mellon,https://www.investing.com/equities/bk-of-ny,BK
144,Flex,https://www.investing.com/equities/flextronics-intl-ltd,FLEX
145,TechnipFMC,https://www.investing.com/equities/fmc-technologies-inc,FTI
146,Wynn Resorts,https://www.investing.com/equities/wynn-resorts-ltd,WYNN
147,Abbott Labs,https://www.investing.com/equities/abbott-laboratories,ABT
148,Home Depot,https://www.investing.com/equities/home-depot,HD
149,Qurate Retail A,https://www.investing.com/equities/liberty-media-inter,QRTEA
150,AIG,https://www.investing.com/equities/american-intl-group,AIG
151,Colgate-Palmolive,https://www.investing.com/equities/colgate-palmo,CL
152,EOG Resources,https://www.investing.com/equities/eog-resources,EOG
153,Nike,https://www.investing.com/equities/nike,NKE
154,Kimco,https://www.investing.com/equities/kimco-realty,KIM
155,Texas Instruments,https://www.investing.com/equities/texas-instru,TXN
156,Netflix,"https://www.investing.com/equities/netflix,-inc.",NFLX
157,Mastercard,https://www.investing.com/equities/mastercard-cl-a,MA
158,Target,https://www.investing.com/equities/target,TGT
159,Corning,https://www.investing.com/equities/corning-inc,GLW
160,Fidelity National Info,https://www.investing.com/equities/fidelity-natl-in,FIS
161,Teck Resources B,https://www.investing.com/equities/teck-cominco,TECK
162,Mosaic,https://www.investing.com/equities/mosaic-company,MOS
163,First Horizon National,https://www.investing.com/equities/first-horizon-ntl,FHN
164,NiSource,https://www.investing.com/equities/ni-source-inc,NI
165,Dynavax,https://www.investing.com/equities/dynavax-tech,DVAX
166,DISH Network,https://www.investing.com/equities/dish-network,DISH
167,Blackstone Group,https://www.investing.com/equities/the-blackstone-group,BX
168,Clean Energy,https://www.investing.com/equities/clean-energy-fuel,CLNE
169,Xilinx,https://www.investing.com/equities/xilinx-inc,XLNX
170,Invesco,https://www.investing.com/equities/invesco-ltd,IVZ
171,IPG,https://www.investing.com/equities/interpublic-grp,IPG
172,Nucor,https://www.investing.com/equities/nucor,NUE
173,Eli Lilly,https://www.investing.com/equities/eli-lilly-and-co,LLY
174,Johnson Controls,https://www.investing.com/equities/johnson-controls,JCI
175,GameStop Corp,https://www.investing.com/equities/gamestop-corp,GME
176,Valero Energy,https://www.investing.com/equities/valero-energy,VLO
177,Agenus,https://www.investing.com/equities/agenus-inc,AGEN
178,Nuance Communications,https://www.investing.com/equities/nuance-communications,NUAN
179,Endo Int,https://www.investing.com/equities/endo-pharmaceuticals,ENDP
180,General Mills,https://www.investing.com/equities/general-mills,GIS
181,American Express,https://www.investing.com/equities/american-express,AXP
182,Western Digital,https://www.investing.com/equities/western-digital,WDC
183,Best Buy,https://www.investing.com/equities/best-buy,BBY
184,SunPower,https://www.investing.com/equities/sunpower-corporation,SPWR
185,International Paper,https://www.investing.com/equities/intl-paper-co,IP
186,MGIC Investment,https://www.investing.com/equities/mgic-inv,MTG
187,Lowe’s,https://www.investing.com/equities/lowes-companies,LOW
188,Amazon.com,https://www.investing.com/equities/amazon-com-inc,AMZN
189,VMware,https://www.investing.com/equities/vm-ware-inc,VMW
190,DuPont De Nemours,https://www.investing.com/equities/du-pont,DD
191,Juniper,https://www.investing.com/equities/juniper-networks-inc,JNPR
192,Range Resources,https://www.investing.com/equities/range-resources-corp,RRC
193,Nov,https://www.investing.com/equities/ntl-oilwell-varc,NOV
194,Tapestry,https://www.investing.com/equities/coach,TPR
195,Simon Property,https://www.investing.com/equities/simon-prop-grp,SPG
196,Aflac,https://www.investing.com/equities/aflac-inc,AFL
197,Amgen,https://www.investing.com/equities/amgen-inc,AMGN
198,Dominion Energy,https://www.investing.com/equities/dominion-res,D
199,Dentsply,https://www.investing.com/equities/dentsply-intl-inc-new,XRAY
200,Cognizant A,https://www.investing.com/equities/cognizant-technology-solutio,CTSH
201,Ball,https://www.investing.com/equities/ball-corp,BLL
202,Honeywell,https://www.investing.com/equities/honeywell-intl,HON
203,CF Industries,https://www.investing.com/equities/cf-industries,CF
204,Electronic Arts,https://www.investing.com/equities/electronic-arts-inc,EA
205,Xcel Energy,https://www.investing.com/equities/xcel-energy,XEL
206,Caterpillar,https://www.investing.com/equities/caterpillar,CAT
207,NortonLifeLock Inc,https://www.investing.com/equities/symantec-corp,NLOK
208,McDonald’s,https://www.investing.com/equities/mcdonalds,MCD
209,Unum,https://www.investing.com/equities/unum-group,UNM
210,Cinedigm,https://www.investing.com/equities/cinedigm-digital,CIDM
211,ConAgra Foods,https://www.investing.com/equities/conagra-foods,CAG
212,Edwards Lifesciences,https://www.investing.com/equities/edward-lifescience,EW
213,Marriott Int,https://www.investing.com/equities/marriott-intl,MAR
214,Patterson-UTI Energy,https://www.investing.com/equities/patterson-uti-energy-inc,PTEN
215,CoStar,https://www.investing.com/equities/costar-group,CSGP
216,Franklin Resources,https://www.investing.com/equities/franklin-res,BEN
217,Tyson Foods,https://www.investing.com/equities/tyson-foods,TSN
218,UnitedHealth,https://www.investing.com/equities/united-health-group,UNH
219,3M,https://www.investing.com/equities/3m-co,MMM
220,Seagate,https://www.investing.com/equities/seagate-technology,STX
221,Duke Energy,https://www.investing.com/equities/duke-energy,DUK
222,Bausch Health,https://www.investing.com/equities/valeant-pharma,BHC
223,Fastenal,https://www.investing.com/equities/fastenal-co,FAST
224,Mattel,https://www.investing.com/equities/mattel-inc,MAT
225,Builders FirstSource,https://www.investing.com/equities/builders-firstsou,BLDR
226,Union Pacific,https://www.investing.com/equities/union-pacific,UNP
227,Costco,https://www.investing.com/equities/costco-whsl-corp-new,COST
228,Analog Devices,https://www.investing.com/equities/analog-devices,ADI
229,EXACT Sciences,https://www.investing.com/equities/exact-sciences-co,EXAS
230,Emerson,https://www.investing.com/equities/emerson-elec,EMR
231,Danaher,https://www.investing.com/equities/danaher-corp,DHR
232,Welltower,https://www.investing.com/equities/health-care-reit,WELL
233,News Corp A,https://www.investing.com/equities/news-corp.,NWSA
234,FirstEnergy,https://www.investing.com/equities/first-energy,FE
235,Viavi Solutions,https://www.investing.com/equities/jds-uniphase-corp,VIAV
236,Prologis,https://www.investing.com/equities/prologis,PLD
237,Masco,https://www.investing.com/equities/masco-corp,MAS
238,American Electric Power,https://www.investing.com/equities/american-electric,AEP
239,Allstate,https://www.investing.com/equities/allstate-corporation,ALL
240,CNX Resources,https://www.investing.com/equities/consol-energy,CNX
241,Amphenol,https://www.investing.com/equities/amphenol-corp,APH
242,Weyerhaeuser,https://www.investing.com/equities/weyerhaeuser,WY
243,NXP,https://www.investing.com/equities/nxp-semiconductors,NXPI
244,Bed Bath&Beyond,https://www.investing.com/equities/bed-bath---beyond-inc,BBBY
245,Big Lots,https://www.investing.com/equities/big-lots-inc,BIG
246,PulteGroup,https://www.investing.com/equities/pulte-homes-inc,PHM
247,BGC Partners,https://www.investing.com/equities/bgc-partners,BGCP
248,Capital One Financial,https://www.investing.com/equities/capital-one,COF
249,Goodyear Tire & Rubber Co,https://www.investing.com/equities/goodyear-tire,GT
250,Goldman Sachs,https://www.investing.com/equities/goldman-sachs-group,GS
251,Cardinal Health,https://www.investing.com/equities/cardinal-health,CAH
252,Agnico Eagle Mines,https://www.investing.com/equities/agnico-eagle-mines,AEM
253,Omnicom,https://www.investing.com/equities/omnicom-gp-inc,OMC
254,Wheaton Precious Metals,https://www.investing.com/equities/silver-wheaton-corp,WPM
255,Sysco,https://www.investing.com/equities/sysco-corp,SYY
256,Consolidated Edison,https://www.investing.com/equities/cocnsol-edison,ED
257,America Movil ADR,https://www.investing.com/equities/america-movil,AMX
258,Expedia,https://www.investing.com/equities/expedia,EXPE
259,ICE,https://www.investing.com/equities/intercontintlex,ICE
260,Progressive,https://www.investing.com/equities/the-progressive,PGR
261,Vertex,https://www.investing.com/equities/vertex-pharm,VRTX
262,DR Horton,https://www.investing.com/equities/d.r.-horton-inc,DHI
263,SLM,https://www.investing.com/equities/slm-corporation,SLM
264,United Parcel Service,https://www.investing.com/equities/united-parcel,UPS
265,Newell Brands,https://www.investing.com/equities/newell-rubber,NWL
266,Principal Financial,https://www.investing.com/equities/principal-fin,PFG
267,Baxter,https://www.investing.com/equities/baxter-intl,BAX
268,Healthpeak Properties,https://www.investing.com/equities/hcp-inc,PEAK
269,Pitney Bowes,https://www.investing.com/equities/pitney-bowes-inc,PBI
270,Intuitive Surgical,https://www.investing.com/equities/intuitive-surgical-inc,ISRG
271,DXC Technology,https://www.investing.com/equities/comp-science,DXC
272,FedEx,https://www.investing.com/equities/fedex-corp,FDX
273,Autodesk,https://www.investing.com/equities/autodesk-inc,ADSK
274,Xerox,https://www.investing.com/equities/xerox-corp,XRX
275,Edison,https://www.investing.com/equities/edison-intl,EIX
276,ONEOK,https://www.investing.com/equities/oneok,OKE
277,3D Systems,https://www.investing.com/equities/3d-systems-corporation,DDD
278,Curis,https://www.investing.com/equities/curis,CRIS
279,Monster Beverage,https://www.investing.com/equities/monster-beverage,MNST
280,Cigna,https://www.investing.com/equities/cigna-corp,CI
281,Accenture,https://www.investing.com/equities/accenture-ltd,ACN
282,VF,https://www.investing.com/equities/vf-corp,VFC
283,Prudential Financial,https://www.investing.com/equities/prudential-fin,PRU
284,Cadence Design,https://www.investing.com/equities/cadence-design-system-inc,CDNS
285,Pan American Silver,https://www.investing.com/equities/pan-american-silver-corp,PAAS
286,BioCryst,https://www.investing.com/equities/biocryst-pharmaceuticals,BCRX
287,Color Star Technology Co,https://www.investing.com/equities/china-advanced,CSCW
288,Intuit,https://www.investing.com/equities/intuit,INTU
289,Lennar,https://www.investing.com/equities/lennar,LEN
290,PACCAR,https://www.investing.com/equities/paccar-inc,PCAR
291,Female Health,https://www.investing.com/equities/female-health-com,VERU
292,Campbell Soup,https://www.investing.com/equities/campbell-soup,CPB
293,Archer-Daniels-Midland,https://www.investing.com/equities/archer-daniels-mid,ADM
294,Dollar Tree,https://www.investing.com/equities/dollar-tree-inc,DLTR
295,8x8,https://www.investing.com/equities/8x8-inc,EGHT
296,Discover,https://www.investing.com/equities/discover-financl,DFS
297,Aeterna Zentaris,https://www.investing.com/equities/aeterna-zentaris-inc?cid=15348,AEZS
298,Ingersoll Rand,https://www.investing.com/equities/ingersoll-rand,IR
299,Cyren,https://www.investing.com/equities/commtouch-software,CYRN
300,Hormel Foods,https://www.investing.com/equities/hormel-foods-corp,HRL
301,Norfolk Southern,https://www.investing.com/equities/norfolk-southern,NSC
302,Apartment Invest,https://www.investing.com/equities/apt-inv-manage,AIV
303,Chubb,https://www.investing.com/equities/chubb-corp,CB
304,Cerner,https://www.investing.com/equities/cerner-corporatio,CERN
305,State Street,https://www.investing.com/equities/state-street,STT
306,Broadcom,https://www.investing.com/equities/avago-technologies,AVGO
307,DTE Energy,https://www.investing.com/equities/dte-energy,DTE
308,Digital Ally,https://www.investing.com/equities/digital-ally,DGLY
309,Marsh McLennan,https://www.investing.com/equities/marsh---mclennan,MMC
310,NRG,https://www.investing.com/equities/nrg-energy-inc,NRG
311,Alphabet A,https://www.investing.com/equities/google-inc,GOOGL
312,Yum! Brands,https://www.investing.com/equities/yum!-brands-inc,YUM
313,Bath Body Works,https://www.investing.com/equities/limited-brands,BBWI
314,H&R Block,https://www.investing.com/equities/h---r-block-inc,HRB
315,CBAK Energy,https://www.investing.com/equities/china-bak-battery,CBAT
316,UBS Group,https://www.investing.com/equities/ubs-group-n?cid=8132,UBS
317,Stanley Black Decker,https://www.investing.com/equities/stanley-works,SWK
318,NetApp,https://www.investing.com/equities/network-appliance-inc,NTAP
319,Site Centers,https://www.investing.com/equities/ddr,SITC
320,Murphy Oil,https://www.investing.com/equities/murphy-oil-corp,MUR
321,Chimera Investment,https://www.investing.com/equities/chimera-investment-corp,CIM
322,Yandex,https://www.investing.com/equities/yandex,YNDX
323,Ventas,https://www.investing.com/equities/ventas-inc,VTR
324,Hess,https://www.investing.com/equities/hess-corp,HES
325,Pioneer Natural,https://www.investing.com/equities/pioneer-natural-resources,PXD
326,Canadian Solar Inc,https://www.investing.com/equities/canadian-solar,CSIQ
327,Sherwin-Williams,https://www.investing.com/equities/sherwinwilliams,SHW
328,Lincoln National,https://www.investing.com/equities/lincoln-natl,LNC
329,Hartford,https://www.investing.com/equities/hartford-finl,HIG
330,IGT,https://www.investing.com/equities/intl-game-tech,IGT
331,Amicus,https://www.investing.com/equities/amicus-therapeutics,FOLD
332,Zimmer Biomet,https://www.investing.com/equities/zimmer-hldgs,ZBH
333,Ecolab,https://www.investing.com/equities/ecolab-inc,ECL
334,Cerus,https://www.investing.com/equities/cerus-corp,CERS
335,Allscripts,https://www.investing.com/equities/allscripts-misys-healthcre-solution,MDRX
336,Steel Dynamics,https://www.investing.com/equities/steel-dynamics,STLD
337,Ross Stores,https://www.investing.com/equities/ross-stores-inc,ROST
338,Sarepta,https://www.investing.com/equities/sarepta,SRPT
339,Ionis Pharma,https://www.investing.com/equities/isis-pharma,IONS
340,Kimberly-Clark,https://www.investing.com/equities/kimberly-clark,KMB
341,Kellogg,https://www.investing.com/equities/kellogg-co.,K
342,KB Home,https://www.investing.com/equities/kb-home,KBH
343,Abercrombie&Fitch,https://www.investing.com/equities/aberc-fitch-a,ANF
